"DATE","TIME PERIOD","EURO STOXX 50 Equity Index - Historical close, average of observations through period (FM.M.U2.EUR.DS.EI.DJES50I.HSTA)"
"1986-12-31","1986Dec","900.8200000"
"1987-01-31","1987Jan","877.8640909"
"1987-02-28","1987Feb","839.7895000"
"1987-03-31","1987Mar","856.6245455"
"1987-04-30","1987Apr","888.9836364"
"1987-05-31","1987May","872.0866667"
"1987-06-30","1987Jun","884.0690909"
"1987-07-31","1987Jul","930.3595652"
"1987-08-31","1987Aug","952.9004762"
"1987-09-30","1987Sep","932.2722727"
"1987-10-31","1987Oct","852.7268182"
"1987-11-30","1987Nov","672.9633333"
"1987-12-31","1987Dec","653.3695652"
"1988-01-31","1988Jan","646.5657143"
"1988-02-29","1988Feb","679.0166667"
"1988-03-31","1988Mar","716.6960870"
"1988-04-30","1988Apr","713.5447619"
"1988-05-31","1988May","696.4390909"
"1988-06-30","1988Jun","748.1390909"
"1988-07-31","1988Jul","773.7885714"
"1988-08-31","1988Aug","773.9156522"
"1988-09-30","1988Sep","787.2531818"
"1988-10-31","1988Oct","826.4876190"
"1988-11-30","1988Nov","828.4481818"
"1988-12-31","1988Dec","842.9536364"
"1989-01-31","1989Jan","883.0745455"
"1989-02-28","1989Feb","874.1225000"
"1989-03-31","1989Mar","874.3404348"
"1989-04-30","1989Apr","901.6255000"
"1989-05-31","1989May","902.4473913"
"1989-06-30","1989Jun","946.9963636"
"1989-07-31","1989Jul","978.7657143"
"1989-08-31","1989Aug","1021.5108696"
"1989-09-30","1989Sep","1048.3147619"
"1989-10-31","1989Oct","1008.3254545"
"1989-11-30","1989Nov","982.9840909"
"1989-12-31","1989Dec","1054.7957143"
"1990-01-31","1990Jan","1085.3565217"
"1990-02-28","1990Feb","1072.5385000"
"1990-03-31","1990Mar","1092.6522727"
"1990-04-30","1990Apr","1115.8880952"
"1990-05-31","1990May","1110.4191304"
"1990-06-30","1990Jun","1107.3309524"
"1990-07-31","1990Jul","1120.0540909"
"1990-08-31","1990Aug","992.5234783"
"1990-09-30","1990Sep","913.0400000"
"1990-10-31","1990Oct","892.4456522"
"1990-11-30","1990Nov","874.4068182"
"1990-12-31","1990Dec","887.4757143"
"1991-01-31","1991Jan","850.4469565"
"1991-02-28","1991Feb","925.1970000"
"1991-03-31","1991Mar","973.7428571"
"1991-04-30","1991Apr","1000.9218182"
"1991-05-31","1991May","1018.5626087"
"1991-06-30","1991Jun","1034.7290000"
"1991-07-31","1991Jul","999.4482609"
"1991-08-31","1991Aug","1001.5645455"
"1991-09-30","1991Sep","1011.4909524"
"1991-10-31","1991Oct","998.4839130"
"1991-11-30","1991Nov","1000.2647619"
"1991-12-31","1991Dec","976.9277273"
"1992-01-31","1992Jan","1032.6208696"
"1992-02-29","1992Feb","1060.3905000"
"1992-03-31","1992Mar","1070.9581818"
"1992-04-30","1992Apr","1071.5636364"
"1992-05-31","1992May","1092.7147619"
"1992-06-30","1992Jun","1076.7913636"
"1992-07-31","1992Jul","1022.8008696"
"1992-08-31","1992Aug","962.7657143"
"1992-09-30","1992Sep","984.1318182"
"1992-10-31","1992Oct","962.1081818"
"1992-11-30","1992Nov","997.6490476"
"1992-12-31","1992Dec","1010.0330435"
"1993-01-31","1993Jan","1035.8000000"
"1993-02-28","1993Feb","1097.5220000"
"1993-03-31","1993Mar","1136.2539130"
"1993-04-30","1993Apr","1127.5404545"
"1993-05-31","1993May","1110.7485714"
"1993-06-30","1993Jun","1135.9550000"
"1993-07-31","1993Jul","1185.1790909"
"1993-08-31","1993Aug","1276.8645455"
"1993-09-30","1993Sep","1279.5790909"
"1993-10-31","1993Oct","1333.0338095"
"1993-11-30","1993Nov","1330.5763636"
"1993-12-31","1993Dec","1393.6917391"
"1994-01-31","1994Jan","1423.2104762"
"1994-02-28","1994Feb","1424.0050000"
"1994-03-31","1994Mar","1387.0704348"
"1994-04-30","1994Apr","1409.0142857"
"1994-05-31","1994May","1413.6963636"
"1994-06-30","1994Jun","1324.9872727"
"1994-07-31","1994Jul","1328.1028571"
"1994-08-31","1994Aug","1374.3030435"
"1994-09-30","1994Sep","1341.7731818"
"1994-10-31","1994Oct","1300.9290476"
"1994-11-30","1994Nov","1320.9995455"
"1994-12-31","1994Dec","1319.0968182"
"1995-01-31","1995Jan","1306.8731818"
"1995-02-28","1995Feb","1328.8460000"
"1995-03-31","1995Mar","1295.3839130"
"1995-04-30","1995Apr","1324.1225000"
"1995-05-31","1995May","1379.0234783"
"1995-06-30","1995Jun","1383.5204545"
"1995-07-31","1995Jul","1420.5676190"
"1995-08-31","1995Aug","1448.5343478"
"1995-09-30","1995Sep","1445.9095238"
"1995-10-31","1995Oct","1403.8959091"
"1995-11-30","1995Nov","1432.9409091"
"1995-12-31","1995Dec","1486.3076190"
"1996-01-31","1996Jan","1556.2139130"
"1996-02-29","1996Feb","1587.5809524"
"1996-03-31","1996Mar","1594.0128571"
"1996-04-30","1996Apr","1645.4559091"
"1996-05-31","1996May","1672.2713043"
"1996-06-30","1996Jun","1667.2085000"
"1996-07-31","1996Jul","1613.7121739"
"1996-08-31","1996Aug","1620.2022727"
"1996-09-30","1996Sep","1644.4595238"
"1996-10-31","1996Oct","1714.0334783"
"1996-11-30","1996Nov","1760.7957143"
"1996-12-31","1996Dec","1816.1009091"
"1997-01-31","1997Jan","1932.3560870"
"1997-02-28","1997Feb","2070.8415000"
"1997-03-31","1997Mar","2122.8533333"
"1997-04-30","1997Apr","2096.5477273"
"1997-05-31","1997May","2241.6313636"
"1997-06-30","1997Jun","2350.2319048"
"1997-07-31","1997Jul","2567.7386957"
"1997-08-31","1997Aug","2564.7790476"
"1997-09-30","1997Sep","2511.0313636"
"1997-10-31","1997Oct","2510.6969565"
"1997-11-30","1997Nov","2367.9425000"
"1997-12-31","1997Dec","2474.4478261"
"1998-01-31","1998Jan","2572.5222727"
"1998-02-28","1998Feb","2762.1255000"
"1998-03-31","1998Mar","3029.0236364"
"1998-04-30","1998Apr","3239.1395455"
"1998-05-31","1998May","3312.4485714"
"1998-06-30","1998Jun","3355.5768182"
"1998-07-31","1998Jul","3552.0308696"
"1998-08-31","1998Aug","3257.7152381"
"1998-09-30","1998Sep","2881.7959091"
"1998-10-31","1998Oct","2701.0209091"
"1998-11-30","1998Nov","3042.1757143"
"1998-12-31","1998Dec","3171.0621739"
"1999-01-31","1999Jan","3504.3614286"
"1999-02-28","1999Feb","3450.8705000"
"1999-03-31","1999Mar","3524.1934783"
"1999-04-30","1999Apr","3671.7954545"
"1999-05-31","1999May","3669.7304762"
"1999-06-30","1999Jun","3749.4504545"
"1999-07-31","1999Jul","3846.2359091"
"1999-08-31","1999Aug","3691.3259091"
"1999-09-30","1999Sep","3772.7922727"
"1999-10-31","1999Oct","3742.6171429"
"1999-11-30","1999Nov","4159.9730909"
"1999-12-31","1999Dec","4590.1077391"
"2000-01-31","2000Jan","4714.7035238"
"2000-02-29","2000Feb","5089.7570476"
"2000-03-31","2000Mar","5317.0805217"
"2000-04-30","2000Apr","5149.1464000"
"2000-05-31","2000May","5174.7295652"
"2000-06-30","2000Jun","5275.0647727"
"2000-07-31","2000Jul","5227.8216190"
"2000-08-31","2000Aug","5151.9599565"
"2000-09-30","2000Sep","5132.9133333"
"2000-10-31","2000Oct","4893.2428636"
"2000-11-30","2000Nov","4962.7177273"
"2000-12-31","2000Dec","4787.1350952"
"2001-01-31","2001Jan","4729.6528696"
"2001-02-28","2001Feb","4525.8688000"
"2001-03-31","2001Mar","4199.1585909"
"2001-04-30","2001Apr","4307.6380000"
"2001-05-31","2001May","4481.8666957"
"2001-06-30","2001Jun","4289.6787619"
"2001-07-31","2001Jul","4037.8258636"
"2001-08-31","2001Aug","3884.6279130"
"2001-09-30","2001Sep","3276.9981000"
"2001-10-31","2001Oct","3440.9140000"
"2001-11-30","2001Nov","3674.6296818"
"2001-12-31","2001Dec","3711.0860476"
"2002-01-31","2002Jan","3690.1304348"
"2002-02-28","2002Feb","3537.6015000"
"2002-03-31","2002Mar","3744.2446190"
"2002-04-30","2002Apr","3658.6166364"
"2002-05-31","2002May","3503.4543043"
"2002-06-30","2002Jun","3143.1095500"
"2002-07-31","2002Jul","2810.6470870"
"2002-08-31","2002Aug","2697.4479091"
"2002-09-30","2002Sep","2450.1574286"
"2002-10-31","2002Oct","2384.7313913"
"2002-11-30","2002Nov","2558.9978571"
"2002-12-31","2002Dec","2477.0302273"
"2003-01-31","2003Jan","2377.3845652"
"2003-02-28","2003Feb","2170.8817500"
"2003-03-31","2003Mar","2086.4630952"
"2003-04-30","2003Apr","2278.2774545"
"2003-05-31","2003May","2303.0359545"
"2003-06-30","2003Jun","2443.3272857"
"2003-07-31","2003Jul","2459.8475217"
"2003-08-31","2003Aug","2524.1213333"
"2003-09-30","2003Sep","2553.3121364"
"2003-10-31","2003Oct","2523.2700000"
"2003-11-30","2003Nov","2618.0584000"
"2003-12-31","2003Dec","2702.1682174"
"2004-01-31","2004Jan","2839.1245455"
"2004-02-29","2004Feb","2874.7639500"
"2004-03-31","2004Mar","2829.0044348"
"2004-04-30","2004Apr","2860.8652273"
"2004-05-31","2004May","2728.5880000"
"2004-06-30","2004Jun","2792.1674091"
"2004-07-31","2004Jul","2730.3732273"
"2004-08-31","2004Aug","2646.9280000"
"2004-09-30","2004Sep","2748.6519545"
"2004-10-31","2004Oct","2794.3770476"
"2004-11-30","2004Nov","2882.6955909"
"2004-12-31","2004Dec","2926.0002609"
"2005-01-31","2005Jan","2957.0262381"
"2005-02-28","2005Feb","3050.4234000"
"2005-03-31","2005Mar","3065.7687391"
"2005-04-30","2005Apr","3013.7489524"
"2005-05-31","2005May","3023.4701818"
"2005-06-30","2005Jun","3151.6645455"
"2005-07-31","2005Jul","3267.1004762"
"2005-08-31","2005Aug","3303.3191739"
"2005-09-30","2005Sep","3351.8449545"
"2005-10-31","2005Oct","3340.0625714"
"2005-11-30","2005Nov","3404.8940000"
"2005-12-31","2005Dec","3550.0556364"
"2006-01-31","2006Jan","3626.9377273"
"2006-02-28","2006Feb","3743.7892500"
"2006-03-31","2006Mar","3814.9321739"
"2006-04-30","2006Apr","3834.6011500"
"2006-05-31","2006May","3726.8473478"
"2006-06-30","2006Jun","3528.6558636"
"2006-07-31","2006Jul","3617.3304762"
"2006-08-31","2006Aug","3743.8631304"
"2006-09-30","2006Sep","3817.5700000"
"2006-10-31","2006Oct","3975.8365909"
"2006-11-30","2006Nov","4052.8033636"
"2006-12-31","2006Dec","4070.3542857"
"2007-01-31","2007Jan","4157.7873913"
"2007-02-28","2007Feb","4230.1978000"
"2007-03-31","2007Mar","4070.4695909"
"2007-04-30","2007Apr","4330.7464762"
"2007-05-31","2007May","4444.8279130"
"2007-06-30","2007Jun","4470.2115238"
"2007-07-31","2007Jul","4449.0247727"
"2007-08-31","2007Aug","4220.6253043"
"2007-09-30","2007Sep","4284.4279500"
"2007-10-31","2007Oct","4430.7492174"
"2007-11-30","2007Nov","4314.8762727"
"2007-12-31","2007Dec","4386.0430476"
"2008-01-31","2008Jan","4042.0858261"
"2008-02-29","2008Feb","3776.5829048"
"2008-03-31","2008Mar","3587.3371905"
"2008-04-30","2008Apr","3768.1028182"
"2008-05-31","2008May","3812.7621818"
"2008-06-30","2008Jun","3527.8323333"
"2008-07-31","2008Jul","3298.6578261"
"2008-08-31","2008Aug","3346.0433333"
"2008-09-30","2008Sep","3193.7236364"
"2008-10-31","2008Oct","2627.2762609"
"2008-11-30","2008Nov","2452.8717000"
"2008-12-31","2008Dec","2407.0033913"
"2009-01-31","2009Jan","2344.9304545"
"2009-02-28","2009Feb","2159.8429500"
"2009-03-31","2009Mar","1993.9261364"
"2009-04-30","2009Apr","2256.2652727"
"2009-05-31","2009May","2426.6816667"
"2009-06-30","2009Jun","2449.0250000"
"2009-07-31","2009Jul","2462.0956957"
"2009-08-31","2009Aug","2702.6528571"
"2009-09-30","2009Sep","2827.9335455"
"2009-10-31","2009Oct","2865.4845455"
"2009-11-30","2009Nov","2843.7716667"
"2009-12-31","2009Dec","2907.6463636"
"2010-01-31","2010Jan","2922.7227500"
"2010-02-28","2010Feb","2727.4831000"
"2010-03-31","2010Mar","2890.4663043"
"2010-04-30","2010Apr","2937.3015000"
"2010-05-31","2010May","2642.1311429"
"2010-06-30","2010Jun","2641.6554091"
"2010-07-31","2010Jul","2669.4977727"
"2010-08-31","2010Aug","2712.2324545"
"2010-09-30","2010Sep","2766.0879091"
"2010-10-31","2010Oct","2817.7092857"
"2010-11-30","2010Nov","2809.6455909"
"2010-12-31","2010Dec","2825.5793478"
"2011-01-31","2011Jan","2900.6929524"
"2011-02-28","2011Feb","3015.7334500"
"2011-03-31","2011Mar","2890.3620000"
"2011-04-30","2011Apr","2947.1596842"
"2011-05-31","2011May","2885.7684091"
"2011-06-30","2011Jun","2766.6060455"
"2011-07-31","2011Jul","2743.4609524"
"2011-08-31","2011Aug","2297.2124348"
"2011-09-30","2011Sep","2124.3133182"
"2011-10-31","2011Oct","2312.2991429"
"2011-11-30","2011Nov","2239.5802273"
"2011-12-31","2011Dec","2283.2952381"
"2012-01-31","2012Jan","2382.0659091"
"2012-02-29","2012Feb","2508.2432857"
"2012-03-31","2012Mar","2532.1833636"
"2012-04-30","2012Apr","2340.7787368"
"2012-05-31","2012May","2198.5030870"
"2012-06-30","2012Jun","2152.7450476"
"2012-07-31","2012Jul","2258.3578636"
"2012-08-31","2012Aug","2424.5008696"
"2012-09-30","2012Sep","2530.6889500"
"2012-10-31","2012Oct","2503.4688261"
"2012-11-30","2012Nov","2513.9832273"
"2012-12-31","2012Dec","2625.5535789"
"2013-01-31","2013Jan","2715.3045000"
"2013-02-28","2013Feb","2630.3973500"
"2013-03-31","2013Mar","2680.1789500"
"2013-04-30","2013Apr","2636.3469048"
"2013-05-31","2013May","2785.7691304"
"2013-06-30","2013Jun","2655.7603500"
"2013-07-31","2013Jul","2686.5315217"
"2013-08-31","2013Aug","2803.8491818"
"2013-09-30","2013Sep","2864.5557143"
"2013-10-31","2013Oct","2988.8820000"
"2013-11-30","2013Nov","3055.9819048"
"2013-12-31","2013Dec","3010.1982500"
"2014-01-31","2014Jan","3092.4018636"
"2014-02-28","2014Feb","3085.8652500"
"2014-03-31","2014Mar","3093.9668571"
"2014-04-30","2014Apr","3171.5316500"
"2014-05-31","2014May","3197.3986818"
"2014-06-30","2014Jun","3271.6898571"
"2014-07-31","2014Jul","3192.3085217"
"2014-08-31","2014Aug","3089.0545238"
"2014-09-30","2014Sep","3233.3777727"
"2014-10-31","2014Oct","3029.5748696"
"2014-11-30","2014Nov","3126.1448500"
"2014-12-31","2014Dec","3159.7749048"
"2015-01-31","2015Jan","3207.2583810"
"2015-02-28","2015Feb","3453.7856500"
"2015-03-31","2015Mar","3655.3062727"
"2015-04-30","2015Apr","3733.8009000"
"2015-05-31","2015May","3617.8646667"
"2015-06-30","2015Jun","3521.7747727"
"2015-07-31","2015Jul","3545.0975652"
"2015-08-31","2015Aug","3444.4058571"
"2015-09-30","2015Sep","3165.4608182"
"2015-10-31","2015Oct","3275.4786818"
"2015-11-30","2015Nov","3439.5712857"
"2015-12-31","2015Dec","3288.6339545"
"2016-01-31","2016Jan","3030.5048000"
"2016-02-29","2016Feb","2862.5876667"
"2016-03-31","2016Mar","3031.4184762"
"2016-04-30","2016Apr","3031.1839048"
"2016-05-31","2016May","2983.7032727"
"2016-06-30","2016Jun","2910.8023636"
"2016-07-31","2016Jul","2919.0794762"
"2016-08-31","2016Aug","2992.8667826"
"2016-09-30","2016Sep","3012.0925909"
"2016-10-31","2016Oct","3042.3323810"
"2016-11-30","2016Nov","3026.3958636"
"2016-12-31","2016Dec","3207.2712381"
"2017-01-31","2017Jan","3298.7695909"
"2017-02-28","2017Feb","3293.0971000"
"2017-03-31","2017Mar","3427.1039565"
"2017-04-30","2017Apr","3491.8341111"
"2017-05-31","2017May","3601.8720000"
"2017-06-30","2017Jun","3547.8494091"
"2017-07-31","2017Jul","3483.8940000"
"2017-08-31","2017Aug","3451.3417391"
"2017-09-30","2017Sep","3507.1223810"
"2017-10-31","2017Oct","3614.7454545"
"2017-11-30","2017Nov","3601.4313182"
"2017-12-31","2017Dec","3564.6552632"
"2018-01-31","2018Jan","3612.1638182"
"2018-02-28","2018Feb","3426.7103000"
"2018-03-31","2018Mar","3374.2947143"
"2018-04-30","2018Apr","3457.6182500"
"2018-05-31","2018May","3537.0865652"
"2018-06-30","2018Jun","3442.7680000"
"2018-07-31","2018Jul","3460.8866818"
"2018-08-31","2018Aug","3436.8280435"
"2018-09-30","2018Sep","3365.2269000"
"2018-10-31","2018Oct","3244.5497826"
"2018-11-30","2018Nov","3186.4038636"
"2018-12-31","2018Dec","3057.8388947"
"2019-01-31","2019Jan","3088.6543636"
"2019-02-28","2019Feb","3223.0708500"
"2019-03-31","2019Mar","3332.8553810"
"2019-04-30","2019Apr","3458.7648000"
"2019-05-31","2019May","3385.4120870"
"2019-06-30","2019Jun","3405.9535000"
"2019-07-31","2019Jul","3507.8027826"
"2019-08-31","2019Aug","3355.3239091"
"2019-09-30","2019Sep","3514.5309524"
"2019-10-31","2019Oct","3551.2226522"
"2019-11-30","2019Nov","3693.1410476"
"2019-12-31","2019Dec","3715.3338000"
"2020-01-31","2020Jan","3758.2411818"
"2020-02-29","2020Feb","3734.9242500"
"2020-03-31","2020Mar","2824.1784545"
"2020-04-30","2020Apr","2839.5760000"
"2020-05-31","2020May","2909.3244286"
"2020-06-30","2020Jun","3237.3927273"
"2020-07-31","2020Jul","3316.2912174"
"2020-08-31","2020Aug","3297.6679048"
"2020-09-30","2020Sep","3260.7333182"
"2020-10-31","2020Oct","3180.3902273"
"2020-11-30","2020Nov","3391.7936190"
"2020-12-31","2020Dec","3530.9469091"
"2021-01-31","2021Jan","3592.2347000"
"2021-02-28","2021Feb","3667.1430500"
"2021-03-31","2021Mar","3813.2930870"
"2021-04-30","2021Apr","3987.2866000"
"2021-05-31","2021May","4003.5907143"
"2021-06-30","2021Jun","4105.8087727"
"2021-07-31","2021Jul","4062.6065455"
"2021-08-31","2021Aug","4177.0259091"
"2021-09-30","2021Sep","4158.2860455"
"2021-10-31","2021Oct","4132.2289524"
"2021-11-30","2021Nov","4306.3552727"
"2021-12-31","2021Dec","4207.8640000"
"2022-01-31","2022Jan","4252.3260476"
"2022-02-28","2022Feb","4084.0970000"
"2022-03-31","2022Mar","3796.5993043"
"2022-04-30","2022Apr","3837.3430526"
"2022-05-31","2022May","3691.7740909"
"2022-06-30","2022Jun","3587.6240000"
"2022-07-31","2022Jul","3523.2912381"
"2022-08-31","2022Aug","3701.0550000"
"2022-09-30","2022Sep","3466.1881818"
"2022-10-31","2022Oct","3464.5760000"
"2022-11-30","2022Nov","3839.9561818"
"2022-12-31","2022Dec","3884.6727143"
"2023-01-31","2023Jan","4092.6740000"
"2023-02-28","2023Feb","4238.1341500"
"2023-03-31","2023Mar","4201.7349565"
"2023-04-30","2023Apr","4358.2668889"
"2023-05-31","2023May","4319.3204348"
"2023-06-30","2023Jun","4324.4394091"
"2023-07-31","2023Jul","4364.5068095"
"2023-08-31","2023Aug","4296.8437391"
"2023-09-30","2023Sep","4227.2277619"
"2023-10-31","2023Oct","4103.9530000"
"2023-11-30","2023Nov","4275.0408182"
"2023-12-31","2023Dec","4508.5926316"
"2024-01-31","2024Jan","4505.7760909"
"2024-02-29","2024Feb","4758.8865238"
"2024-03-31","2024Mar","4989.6480000"
"2024-04-30","2024Apr","4981.4074762"
"2024-05-31","2024May","5022.5601304"
"2024-06-30","2024Jun","4951.9745000"
"2024-07-31","2024Jul","4913.8887391"
"2024-08-31","2024Aug","4788.5109545"
"2024-09-30","2024Sep","4876.9896190"
"2024-10-31","2024Oct","4948.4404348"
"2024-11-30","2024Nov","4795.1057619"
"2024-12-31","2024Dec","4918.3386000"
"2025-01-31","2025Jan","5098.1174091"
"2025-02-28","2025Feb","5420.0439000"
"2025-03-31","2025Mar","5417.6658095"
"2025-04-30","2025Apr","4993.9877000"
"2025-05-31","2025May","5358.4690455"
"2025-06-30","2025Jun","5325.1491429"
"2025-07-31","2025Jul","5351.6696087"
"2025-08-31","2025Aug","5373.7999524"
"2025-09-30","2025Sep","5408.0214091"
"2025-10-31","2025Oct","5641.0701304"
"2025-11-30","2025Nov","5634.1263500"
"2025-12-31","2025Dec","5730.9314286"
"2026-01-31","2026Jan","5951.5963333"
"2026-02-28","2026Feb","6051.7261000"
"2026-03-31","2026Mar","5693.7882273"
