"ID";"Periods";"ConsumerConfidence_1"
"0";"1986MM04";"       2"
"1";"1986MM05";"       8"
"2";"1986MM06";"      15"
"3";"1986MM07";"      20"
"4";"1986MM08";"      21"
"5";"1986MM09";"      21"
"6";"1986MM10";"      21"
"7";"1986MM11";"      21"
"8";"1986MM12";"      20"
"9";"1987MM01";"      22"
"10";"1987MM02";"      23"
"11";"1987MM03";"      22"
"12";"1987MM04";"      10"
"13";"1987MM05";"       1"
"14";"1987MM06";"      -2"
"15";"1987MM07";"      -3"
"16";"1987MM08";"       2"
"17";"1987MM09";"      11"
"18";"1987MM10";"       6"
"19";"1987MM11";"       4"
"20";"1987MM12";"       1"
"21";"1988MM01";"      -3"
"22";"1988MM02";"      -3"
"23";"1988MM03";"       1"
"24";"1988MM04";"       5"
"25";"1988MM05";"       6"
"26";"1988MM06";"       6"
"27";"1988MM07";"       9"
"28";"1988MM08";"      15"
"29";"1988MM09";"      13"
"30";"1988MM10";"      14"
"31";"1988MM11";"      18"
"32";"1988MM12";"      18"
"33";"1989MM01";"      20"
"34";"1989MM02";"      18"
"35";"1989MM03";"      20"
"36";"1989MM04";"      20"
"37";"1989MM05";"      17"
"38";"1989MM06";"      19"
"39";"1989MM07";"      23"
"40";"1989MM08";"      23"
"41";"1989MM09";"      23"
"42";"1989MM10";"      24"
"43";"1989MM11";"      25"
"44";"1989MM12";"      24"
"45";"1990MM01";"      23"
"46";"1990MM02";"      19"
"47";"1990MM03";"      19"
"48";"1990MM04";"      18"
"49";"1990MM05";"      16"
"50";"1990MM06";"      15"
"51";"1990MM07";"      15"
"52";"1990MM08";"      15"
"53";"1990MM09";"       9"
"54";"1990MM10";"       2"
"55";"1990MM11";"      -5"
"56";"1990MM12";"      -6"
"57";"1991MM01";"      -7"
"58";"1991MM02";"     -11"
"59";"1991MM03";"      -7"
"60";"1991MM04";"      -8"
"61";"1991MM05";"      -5"
"62";"1991MM06";"      -4"
"63";"1991MM07";"      -7"
"64";"1991MM08";"      -9"
"65";"1991MM09";"     -11"
"66";"1991MM10";"     -15"
"67";"1991MM11";"     -14"
"68";"1991MM12";"     -12"
"69";"1992MM01";"     -12"
"70";"1992MM02";"     -14"
"71";"1992MM03";"     -14"
"72";"1992MM04";"     -14"
"73";"1992MM05";"     -12"
"74";"1992MM06";"      -7"
"75";"1992MM07";"      -3"
"76";"1992MM08";"      -2"
"77";"1992MM09";"      -3"
"78";"1992MM10";"      -5"
"79";"1992MM11";"     -10"
"80";"1992MM12";"     -16"
"81";"1993MM01";"     -17"
"82";"1993MM02";"     -20"
"83";"1993MM03";"     -24"
"84";"1993MM04";"     -24"
"85";"1993MM05";"     -23"
"86";"1993MM06";"     -22"
"87";"1993MM07";"     -22"
"88";"1993MM08";"     -17"
"89";"1993MM09";"     -13"
"90";"1993MM10";"     -17"
"91";"1993MM11";"     -14"
"92";"1993MM12";"     -16"
"93";"1994MM01";"     -17"
"94";"1994MM02";"     -14"
"95";"1994MM03";"      -9"
"96";"1994MM04";"      -5"
"97";"1994MM05";"      -4"
"98";"1994MM06";"       0"
"99";"1994MM07";"       1"
"100";"1994MM08";"       6"
"101";"1994MM09";"      12"
"102";"1994MM10";"      10"
"103";"1994MM11";"       9"
"104";"1994MM12";"       3"
"105";"1995MM01";"       2"
"106";"1995MM02";"       8"
"107";"1995MM03";"      12"
"108";"1995MM04";"      11"
"109";"1995MM05";"      12"
"110";"1995MM06";"       9"
"111";"1995MM07";"      10"
"112";"1995MM08";"      14"
"113";"1995MM09";"      14"
"114";"1995MM10";"      17"
"115";"1995MM11";"      17"
"116";"1995MM12";"      11"
"117";"1996MM01";"       9"
"118";"1996MM02";"       4"
"119";"1996MM03";"      -2"
"120";"1996MM04";"      -4"
"121";"1996MM05";"       0"
"122";"1996MM06";"       4"
"123";"1996MM07";"       9"
"124";"1996MM08";"       9"
"125";"1996MM09";"      12"
"126";"1996MM10";"      17"
"127";"1996MM11";"      15"
"128";"1996MM12";"      14"
"129";"1997MM01";"      17"
"130";"1997MM02";"      19"
"131";"1997MM03";"      21"
"132";"1997MM04";"      22"
"133";"1997MM05";"      24"
"134";"1997MM06";"      24"
"135";"1997MM07";"      25"
"136";"1997MM08";"      24"
"137";"1997MM09";"      24"
"138";"1997MM10";"      25"
"139";"1997MM11";"      26"
"140";"1997MM12";"      25"
"141";"1998MM01";"      26"
"142";"1998MM02";"      27"
"143";"1998MM03";"      31"
"144";"1998MM04";"      31"
"145";"1998MM05";"      33"
"146";"1998MM06";"      33"
"147";"1998MM07";"      33"
"148";"1998MM08";"      30"
"149";"1998MM09";"      24"
"150";"1998MM10";"      14"
"151";"1998MM11";"      11"
"152";"1998MM12";"      13"
"153";"1999MM01";"      13"
"154";"1999MM02";"      12"
"155";"1999MM03";"      13"
"156";"1999MM04";"      15"
"157";"1999MM05";"      16"
"158";"1999MM06";"      16"
"159";"1999MM07";"      20"
"160";"1999MM08";"      20"
"161";"1999MM09";"      27"
"162";"1999MM10";"      33"
"163";"1999MM11";"      34"
"164";"1999MM12";"      35"
"165";"2000MM01";"      36"
"166";"2000MM02";"      35"
"167";"2000MM03";"      35"
"168";"2000MM04";"      36"
"169";"2000MM05";"      34"
"170";"2000MM06";"      34"
"171";"2000MM07";"      32"
"172";"2000MM08";"      31"
"173";"2000MM09";"      30"
"174";"2000MM10";"      32"
"175";"2000MM11";"      30"
"176";"2000MM12";"      31"
"177";"2001MM01";"      26"
"178";"2001MM02";"      20"
"179";"2001MM03";"      14"
"180";"2001MM04";"       6"
"181";"2001MM05";"       5"
"182";"2001MM06";"       1"
"183";"2001MM07";"       0"
"184";"2001MM08";"      -3"
"185";"2001MM09";"      -4"
"186";"2001MM10";"      -3"
"187";"2001MM11";"      -4"
"188";"2001MM12";"      -1"
"189";"2002MM01";"       2"
"190";"2002MM02";"       4"
"191";"2002MM03";"       1"
"192";"2002MM04";"      -4"
"193";"2002MM05";"      -9"
"194";"2002MM06";"     -15"
"195";"2002MM07";"     -20"
"196";"2002MM08";"     -25"
"197";"2002MM09";"     -30"
"198";"2002MM10";"     -31"
"199";"2002MM11";"     -28"
"200";"2002MM12";"     -25"
"201";"2003MM01";"     -29"
"202";"2003MM02";"     -32"
"203";"2003MM03";"     -34"
"204";"2003MM04";"     -35"
"205";"2003MM05";"     -34"
"206";"2003MM06";"     -34"
"207";"2003MM07";"     -36"
"208";"2003MM08";"     -33"
"209";"2003MM09";"     -33"
"210";"2003MM10";"     -32"
"211";"2003MM11";"     -27"
"212";"2003MM12";"     -25"
"213";"2004MM01";"     -27"
"214";"2004MM02";"     -20"
"215";"2004MM03";"     -19"
"216";"2004MM04";"     -20"
"217";"2004MM05";"     -22"
"218";"2004MM06";"     -22"
"219";"2004MM07";"     -18"
"220";"2004MM08";"     -16"
"221";"2004MM09";"     -17"
"222";"2004MM10";"     -20"
"223";"2004MM11";"     -21"
"224";"2004MM12";"     -25"
"225";"2005MM01";"     -24"
"226";"2005MM02";"     -19"
"227";"2005MM03";"     -15"
"228";"2005MM04";"     -11"
"229";"2005MM05";"     -14"
"230";"2005MM06";"     -20"
"231";"2005MM07";"     -22"
"232";"2005MM08";"     -25"
"233";"2005MM09";"     -26"
"234";"2005MM10";"     -22"
"235";"2005MM11";"     -15"
"236";"2005MM12";"     -10"
"237";"2006MM01";"      -7"
"238";"2006MM02";"      -6"
"239";"2006MM03";"      -3"
"240";"2006MM04";"       1"
"241";"2006MM05";"       4"
"242";"2006MM06";"      11"
"243";"2006MM07";"      12"
"244";"2006MM08";"      11"
"245";"2006MM09";"      13"
"246";"2006MM10";"      14"
"247";"2006MM11";"      14"
"248";"2006MM12";"      16"
"249";"2007MM01";"      19"
"250";"2007MM02";"      20"
"251";"2007MM03";"      20"
"252";"2007MM04";"      20"
"253";"2007MM05";"      21"
"254";"2007MM06";"      25"
"255";"2007MM07";"      23"
"256";"2007MM08";"      22"
"257";"2007MM09";"      10"
"258";"2007MM10";"       4"
"259";"2007MM11";"       1"
"260";"2007MM12";"       2"
"261";"2008MM01";"       1"
"262";"2008MM02";"      -4"
"263";"2008MM03";"      -5"
"264";"2008MM04";"      -7"
"265";"2008MM05";"     -12"
"266";"2008MM06";"     -16"
"267";"2008MM07";"     -26"
"268";"2008MM08";"     -28"
"269";"2008MM09";"     -25"
"270";"2008MM10";"     -25"
"271";"2008MM11";"     -26"
"272";"2008MM12";"     -26"
"273";"2009MM01";"     -27"
"274";"2009MM02";"     -28"
"275";"2009MM03";"     -30"
"276";"2009MM04";"     -26"
"277";"2009MM05";"     -22"
"278";"2009MM06";"     -19"
"279";"2009MM07";"     -19"
"280";"2009MM08";"     -14"
"281";"2009MM09";"     -12"
"282";"2009MM10";"     -14"
"283";"2009MM11";"     -11"
"284";"2009MM12";"      -7"
"285";"2010MM01";"      -4"
"286";"2010MM02";"      -6"
"287";"2010MM03";"      -6"
"288";"2010MM04";"      -7"
"289";"2010MM05";"      -9"
"290";"2010MM06";"     -13"
"291";"2010MM07";"     -11"
"292";"2010MM08";"      -7"
"293";"2010MM09";"      -8"
"294";"2010MM10";"      -7"
"295";"2010MM11";"      -3"
"296";"2010MM12";"      -7"
"297";"2011MM01";"      -4"
"298";"2011MM02";"       0"
"299";"2011MM03";"       1"
"300";"2011MM04";"      -2"
"301";"2011MM05";"      -4"
"302";"2011MM06";"      -6"
"303";"2011MM07";"      -8"
"304";"2011MM08";"     -16"
"305";"2011MM09";"     -27"
"306";"2011MM10";"     -34"
"307";"2011MM11";"     -35"
"308";"2011MM12";"     -36"
"309";"2012MM01";"     -37"
"310";"2012MM02";"     -36"
"311";"2012MM03";"     -36"
"312";"2012MM04";"     -32"
"313";"2012MM05";"     -34"
"314";"2012MM06";"     -37"
"315";"2012MM07";"     -33"
"316";"2012MM08";"     -31"
"317";"2012MM09";"     -28"
"318";"2012MM10";"     -29"
"319";"2012MM11";"     -33"
"320";"2012MM12";"     -38"
"321";"2013MM01";"     -37"
"322";"2013MM02";"     -41"
"323";"2013MM03";"     -41"
"324";"2013MM04";"     -37"
"325";"2013MM05";"     -32"
"326";"2013MM06";"     -33"
"327";"2013MM07";"     -35"
"328";"2013MM08";"     -32"
"329";"2013MM09";"     -31"
"330";"2013MM10";"     -26"
"331";"2013MM11";"     -16"
"332";"2013MM12";"     -11"
"333";"2014MM01";"      -6"
"334";"2014MM02";"      -2"
"335";"2014MM03";"       1"
"336";"2014MM04";"       4"
"337";"2014MM05";"       6"
"338";"2014MM06";"       6"
"339";"2014MM07";"       5"
"340";"2014MM08";"       2"
"341";"2014MM09";"      -2"
"342";"2014MM10";"       1"
"343";"2014MM11";"      -2"
"344";"2014MM12";"      -4"
"345";"2015MM01";"      -2"
"346";"2015MM02";"      -1"
"347";"2015MM03";"       7"
"348";"2015MM04";"      10"
"349";"2015MM05";"      11"
"350";"2015MM06";"      14"
"351";"2015MM07";"      13"
"352";"2015MM08";"      13"
"353";"2015MM09";"      11"
"354";"2015MM10";"      12"
"355";"2015MM11";"      14"
"356";"2015MM12";"      13"
"357";"2016MM01";"      11"
"358";"2016MM02";"       6"
"359";"2016MM03";"       2"
"360";"2016MM04";"       6"
"361";"2016MM05";"       7"
"362";"2016MM06";"      11"
"363";"2016MM07";"       9"
"364";"2016MM08";"       9"
"365";"2016MM09";"      12"
"366";"2016MM10";"      17"
"367";"2016MM11";"      20"
"368";"2016MM12";"      21"
"369";"2017MM01";"      21"
"370";"2017MM02";"      22"
"371";"2017MM03";"      24"
"372";"2017MM04";"      26"
"373";"2017MM05";"      23"
"374";"2017MM06";"      23"
"375";"2017MM07";"      25"
"376";"2017MM08";"      26"
"377";"2017MM09";"      23"
"378";"2017MM10";"      23"
"379";"2017MM11";"      22"
"380";"2017MM12";"      25"
"381";"2018MM01";"      24"
"382";"2018MM02";"      23"
"383";"2018MM03";"      24"
"384";"2018MM04";"      25"
"385";"2018MM05";"      23"
"386";"2018MM06";"      23"
"387";"2018MM07";"      23"
"388";"2018MM08";"      21"
"389";"2018MM09";"      18"
"390";"2018MM10";"      15"
"391";"2018MM11";"      13"
"392";"2018MM12";"       9"
"393";"2019MM01";"       1"
"394";"2019MM02";"      -2"
"395";"2019MM03";"      -3"
"396";"2019MM04";"      -3"
"397";"2019MM05";"      -3"
"398";"2019MM06";"      -1"
"399";"2019MM07";"       1"
"400";"2019MM08";"      -1"
"401";"2019MM09";"      -2"
"402";"2019MM10";"      -1"
"403";"2019MM11";"      -2"
"404";"2019MM12";"      -2"
"405";"2020MM01";"      -2"
"406";"2020MM02";"      -2"
"407";"2020MM03";"      -3"
"408";"2020MM04";"     -23"
"409";"2020MM05";"     -31"
"410";"2020MM06";"     -27"
"411";"2020MM07";"     -26"
"412";"2020MM08";"     -29"
"413";"2020MM09";"     -28"
"414";"2020MM10";"     -30"
"415";"2020MM11";"     -26"
"416";"2020MM12";"     -19"
"417";"2021MM01";"     -19"
"418";"2021MM02";"     -19"
"419";"2021MM03";"     -18"
"420";"2021MM04";"     -14"
"421";"2021MM05";"      -9"
"422";"2021MM06";"      -3"
"423";"2021MM07";"      -4"
"424";"2021MM08";"      -6"
"425";"2021MM09";"      -5"
"426";"2021MM10";"     -10"
"427";"2021MM11";"     -20"
"428";"2021MM12";"     -26"
"429";"2022MM01";"     -28"
"430";"2022MM02";"     -30"
"431";"2022MM03";"     -39"
"432";"2022MM04";"     -48"
"433";"2022MM05";"     -47"
"434";"2022MM06";"     -50"
"435";"2022MM07";"     -51"
"436";"2022MM08";"     -54"
"437";"2022MM09";"     -59"
"438";"2022MM10";"     -59"
"439";"2022MM11";"     -56"
"440";"2022MM12";"     -52"
"441";"2023MM01";"     -49"
"442";"2023MM02";"     -44"
"443";"2023MM03";"     -39"
"444";"2023MM04";"     -37"
"445";"2023MM05";"     -38"
"446";"2023MM06";"     -39"
"447";"2023MM07";"     -39"
"448";"2023MM08";"     -40"
"449";"2023MM09";"     -39"
"450";"2023MM10";"     -38"
"451";"2023MM11";"     -33"
"452";"2023MM12";"     -29"
"453";"2024MM01";"     -28"
"454";"2024MM02";"     -26"
"455";"2024MM03";"     -22"
"456";"2024MM04";"     -21"
"457";"2024MM05";"     -22"
"458";"2024MM06";"     -23"
"459";"2024MM07";"     -24"
"460";"2024MM08";"     -24"
"461";"2024MM09";"     -21"
"462";"2024MM10";"     -22"
"463";"2024MM11";"     -25"
"464";"2024MM12";"     -26"
"465";"2025MM01";"     -28"
"466";"2025MM02";"     -32"
"467";"2025MM03";"     -34"
"468";"2025MM04";"     -37"
"469";"2025MM05";"     -37"
"470";"2025MM06";"     -36"
"471";"2025MM07";"     -32"
"472";"2025MM08";"     -32"
"473";"2025MM09";"     -32"
"474";"2025MM10";"     -27"
"475";"2025MM11";"     -21"
"476";"2025MM12";"     -21"
"477";"2026MM01";"     -23"
"478";"2026MM02";"     -24"
